,,MSA,County,
7600,7602,"Seattle/Bellevue/Everett, WA",Island County,
,,,King County,
,,,Snohomish County,
7610,,"Sharon, PA",Mercer County,
7620,,"Sheboygan, WI",Sheboygan County,
7640,,"Sherman/Denison, TX",Grayson County,
7680,,"Shreveport/Bossier City, LA",Bossier Parish,
,,,Caddo Parish,
,,,Webster Parish,
7720,,"Sioux City, IA/NE","Woodbury County, IA",
,,,"Dakota County, NE",
7760,,"Sioux Falls, SD",Lincoln County,
,,,Minnehaha County,
7800,,"South Bend, IN",St. Joseph County,
7840,,"Spokane, WA",Spokane County,
7880,,"Springfield, IL",Menard County,
,,,Sangamon County,
7920,,"Springfield, MO",Christian County,
,,,Greene County,
,,,Webster County,
8003,,"Springfield, MA",Franklin County,
,,,Hampden County,
,,,Hampshire County,
8040,5602,"Stamford/Norwalk, CT",Fairfield County,
8050,,"State College, PA",Centre County,
8080,,"Steubenville/Weirton, OH/WV","Jefferson County, OH",
,,,"Brooke County, WV",
,,,"Hancock County, WV",
8120,,"Stockton/Lodi, CA",San Joaquin County,
8140,,"Sumter, SC",Sumter County,
8160,,"Syracuse, NY",Cayuga County,Onondaga County
,,,Madison County,Oswego County
8200,7602,"Tacoma, WA",Pierce County,
8240,,"Tallahassee, FL",Gadsden County,
,,,Leon County,
8280,,"Tampa/St. Petersburg/Clearwater, FL",Hernando County,Pasco County
,,,Hillsborough County,Pinellas County
8320,,"Terre Haute, IN",Clay County,
,,,Vermillion County,
,,,Vigo County,
8360,,"Texarkana, TX/Texarkana, AR","Miller County, AR",
,,,"Bowie County, TX",
8400,,"Toledo, OH",Fulton County,
,,,Lucas County,
,,,Wood County,
8440,,"Topeka, KS",Shawnee County,
8480,5602,"Trenton, NJ",Mercer County,
8520,,"Tucson, AZ",Pima County,
8560,,"Tulsa, OK",Creek County,Tulsa County
,,,Osage County,Wagoner County
,,,Rogers County,
8600,,"Tuscaloosa, AL",Tuscaloosa County,
8640,,"Tyler, TX",Smith County,
8680,,"Utica/Rome, NY",Herkimer County,
,,,Oneida County,
8720,7362,"Vallejo/Fairfield/Napa, CA",Napa County,
,,,Solano County,
8735,4472,"Ventura, CA",Ventura County,
8750,,"Victoria, TX",Victoria County,
8760,6162,"Vineland/Millville/Bridgeton, NJ",Cumberland County,
8780,,"Visalia/Tulare/Porterville, CA",Tulare County,
8800,,"Waco, TX",McLennan County,
8840,8872,"Washington, DC/MD/VA/WV",District of Columbia,VA:
,,,MD:,Fairfax County
,,,Calvert County,Fauquier County
,,,Charles County,King George County
,,,Frederick County,Loudoun County
,,,Montgomery County,Prince William County
,,,Prince George's County,Spotsylvania County
,,,WV:,Stafford County
,,,Berkeley County,Warren County
,,,Jefferson County,Alexandria city
,,,VA:,Fairfax city
,,,Arlington County,Falls Church city
,,,Clarke County,Fredericksburg city
,,,Culpeper County,Manassas city
,,,,Manassas Park city
8880,5602,"Waterbury, CT",Litchfield County,
,,,New Haven County,
8920,,"Waterloo/Cedar Falls, IA",Black Hawk County,
8940,,"Wausau, WI",Marathon County,
8960,,"West Palm Beach/Boca Raton, FL",Palm Beach County,
9000,,"Wheeling, WV/OH","Belmont County, OH",
,,,"Marshall County, WV",
,,,"Ohio County, WV",
9040,,"Wichita, KS",Butler County,
,,,Harvey County,
,,,Sedgwick County,
9080,,"Wichita Falls, TX",Archer County,
,,,Wichita County,
9140,,"Williamsport, PA",Lycoming County,
9160,6162,"Wilmington/Newark, DE/MD","New Castle County, DE",
,,,"Cecil County, MD",
9200,,"Wilmington, NC",Brunswick County,
,,,New Hanover County,
9240,1122,"Worchester, MA/CT","Windham County, CT",
,,,"Hampton, MA",
,,,"Worchester, MA",
9260,,"Yakima, WA",Yakima County,
9270,6922,"Yolo, CA",Yolo County,
9280,,"York, PA",York County,
9320,,"Youngstown/Warren, OH",Columbiana County,
,,,Mahoning County,
,,,Trumbull County,
9340,,"Yuba City, CA",Sutter County,
,,,Yuba County,
9360,,"Yuma, AZ",Yuma County,
